Random Forest Predictions
Source,Prediction
ya_YA13_02-12-2016_10:20:17_4700,0
ya_YA13_02-12-2016_10:20:17_4722,0
ya_YA13_02-12-2016_10:20:17_4744,0
ya_YA13_02-12-2016_10:20:17_4810,0
ya_YA13_02-12-2016_10:20:17_4832,0
ya_YA13_02-12-2016_10:20:17_4854,0
ya_YA13_02-12-2016_10:20:17_4876,0
ya_YA13_02-12-2016_10:20:17_4898,0
ya_YA13_02-12-2016_10:20:17_4920,0
ya_YA13_02-12-2016_10:20:17_4942,0
ya_YA13_02-12-2016_10:20:17_4964,0
ya_YA13_02-12-2016_10:20:17_4986,0
ya_YA13_02-12-2016_10:20:17_5008,0
ya_YA13_02-12-2016_10:20:17_5030,0
ya_YA13_02-12-2016_10:20:17_5052,0
ya_YA13_02-12-2016_10:20:17_5074,0
ya_YA13_02-12-2016_10:20:17_5096,0
ya_YA13_02-12-2016_10:20:17_5118,0
ya_YA13_02-12-2016_10:20:17_5140,0
